"id","title","source","category","location","featured","symbols"
"docs/getting_started.md:10","Example","guide-fence","Guide snippet","web/src/docs/getting_started.md:282","false",""
"docs/getting_started.md:11","Curve fit workflow","guide-fence","Guide snippet","web/src/docs/getting_started.md:309","false",""
"docs/journeys.md:1","Journey 1 — A scalar equation with units","guide-run","Guide snippet","web/src/docs/journeys.md:8","false",""
"docs/journeys.md:2","Journey 2 — A component chain","guide-run","Guide snippet","web/src/docs/journeys.md:30","false","Pipe;Sink;Source"
"docs/journeys.md:3","Mixers and closed loops","guide-fence","Guide snippet","web/src/docs/journeys.md:63","false",""
"docs/language_fundamentals.md:1","Built-in constants","guide-fence","Guide snippet","web/src/docs/language_fundamentals.md:29","false",""
"docs/language_fundamentals.md:2","Trigonometric (angles in radians)","guide-fence","Guide snippet","web/src/docs/language_fundamentals.md:43","false","sin"
"docs/language_fundamentals.md:3","Trigonometric (angles in radians)","guide-fence","Guide snippet","web/src/docs/language_fundamentals.md:49","false","atan2"
"docs/language_fundamentals.md:4","Rounding & integer","guide-fence","Guide snippet","web/src/docs/language_fundamentals.md:74","false","floor;round;step"
"docs/language_fundamentals.md:5","Conditional selection & series","guide-fence","Guide snippet","web/src/docs/language_fundamentals.md:89","false","if;sum"
"docs/language_fundamentals.md:6","Statistical distributions","guide-fence","Guide snippet","web/src/docs/language_fundamentals.md:114","false","probability"
"docs/language_fundamentals.md:7","Why guesses matter","guide-fence","Guide snippet","web/src/docs/language_fundamentals.md:156","false","log10;sqrt"
"docs/language_fundamentals.md:8","Worked example","guide-fence","Guide snippet","web/src/docs/language_fundamentals.md:182","false","uncertaintyof"
"docs/language_fundamentals.md:9","Annotating inputs","guide-fence","Guide snippet","web/src/docs/language_fundamentals.md:207","false",""
"docs/language_fundamentals.md:10","Results are SI","guide-fence","Guide snippet","web/src/docs/language_fundamentals.md:216","false",""
"docs/language_fundamentals.md:11","The Convert() function","guide-fence","Guide snippet","web/src/docs/language_fundamentals.md:223","false",""
"docs/language_fundamentals.md:12","Temperature conversions","guide-fence","Guide snippet","web/src/docs/language_fundamentals.md:229","false",""
"docs/language_fundamentals.md:13","Worked example","guide-fence","Guide snippet","web/src/docs/language_fundamentals.md:235","false",""
"docs/language_fundamentals.md:14","The FOR loop = equation expansion","guide-fence","Guide snippet","web/src/docs/language_fundamentals.md:257","false","enthalpy"
"docs/language_fundamentals.md:15","Array helper functions","guide-fence","Guide snippet","web/src/docs/language_fundamentals.md:269","false","arrayelmt"
"docs/language_fundamentals.md:16","Helper functions","guide-fence","Guide snippet","web/src/docs/language_fundamentals.md:294","false","cis"
"docs/language_fundamentals.md:17","String Variables & Functions","guide-fence","Guide snippet","web/src/docs/language_fundamentals.md:308","false","enthalpy"
"docs/matrix_algebra.md:1","Notation","guide-fence","Guide snippet","web/src/docs/matrix_algebra.md:9","false",""
"docs/matrix_algebra.md:2","Examples","guide-fence","Guide snippet","web/src/docs/matrix_algebra.md:22","false","eye;linspace"
"docs/matrix_algebra.md:3","Example: solve a 2×2 system","guide-fence","Guide snippet","web/src/docs/matrix_algebra.md:43","false",""
"docs/matrix_algebra.md:4","Example","guide-fence","Guide snippet","web/src/docs/matrix_algebra.md:67","false","axpy"
"docs/matrix_algebra.md:5","Example: solve a 3×3 system","guide-fence","Guide snippet","web/src/docs/matrix_algebra.md:95","false","SolveLinear"
"docs/programming_logic.md:1","Functions","guide-fence","Guide snippet","web/src/docs/programming_logic.md:9","false",""
"docs/programming_logic.md:2","Functions","guide-fence","Guide snippet","web/src/docs/programming_logic.md:17","false","mod;trunc"
"docs/programming_logic.md:3","Functions","guide-fence","Guide snippet","web/src/docs/programming_logic.md:26","false",""
"docs/programming_logic.md:4","Procedures","guide-fence","Guide snippet","web/src/docs/programming_logic.md:33","false",""
"docs/programming_logic.md:5","Syntax","guide-fence","Guide snippet","web/src/docs/programming_logic.md:58","false",""
"docs/programming_logic.md:6","2-D engine-map example","guide-fence","Guide snippet","web/src/docs/programming_logic.md:92","false","interpolate2d"
"docs/programming_logic.md:7","Example","guide-fence","Guide snippet","web/src/docs/programming_logic.md:143","false","integralvalue;tableavg;tablerun#"
"docs/programming_logic.md:8","Example","guide-fence","Guide snippet","web/src/docs/programming_logic.md:162","false",""
"docs/reference/control/Eigen.md:2","Examples","reference-fence","Reference example","web/src/docs/reference/control/Eigen.md:37","false",""
"docs/reference/control/Eigenvalues.md:2","Examples","reference-fence","Reference example","web/src/docs/reference/control/Eigenvalues.md:39","false",""
"docs/reference/control/EulerRotate.md:2","Examples","reference-fence","Reference example","web/src/docs/reference/control/EulerRotate.md:40","false",""
"docs/reference/control/LUDecompose.md:2","Examples","reference-fence","Reference example","web/src/docs/reference/control/LUDecompose.md:35","false",""
"docs/reference/control/acker.md:2","Examples","reference-fence","Reference example","web/src/docs/reference/control/acker.md:41","false",""
"docs/reference/control/ctrb.md:2","Examples","reference-fence","Reference example","web/src/docs/reference/control/ctrb.md:35","false",""
"docs/reference/control/d2c.md:2","Examples","reference-fence","Reference example","web/src/docs/reference/control/d2c.md:38","false",""
"docs/reference/control/dare.md:2","Examples","reference-fence","Reference example","web/src/docs/reference/control/dare.md:34","false",""
"docs/reference/control/dlqr.md:2","Examples","reference-fence","Reference example","web/src/docs/reference/control/dlqr.md:36","false",""
"docs/reference/control/dlyap.md:2","Examples","reference-fence","Reference example","web/src/docs/reference/control/dlyap.md:35","false",""
"docs/reference/control/errorconst.md:2","Examples","reference-fence","Reference example","web/src/docs/reference/control/errorconst.md:37","false",""
"docs/reference/control/lyap.md:2","Examples","reference-fence","Reference example","web/src/docs/reference/control/lyap.md:35","false",""
"docs/reference/control/mason.md:2","Examples","reference-fence","Reference example","web/src/docs/reference/control/mason.md:38","false",""
"docs/reference/control/obsv.md:2","Examples","reference-fence","Reference example","web/src/docs/reference/control/obsv.md:35","false",""
"docs/reference/control/pade.md:2","Examples","reference-fence","Reference example","web/src/docs/reference/control/pade.md:35","false",""
"docs/reference/control/parallel.md:2","Examples","reference-fence","Reference example","web/src/docs/reference/control/parallel.md:31","false",""
"docs/reference/control/place.md:2","Examples","reference-fence","Reference example","web/src/docs/reference/control/place.md:41","false",""
"docs/reference/control/ss.md:2","Examples","reference-fence","Reference example","web/src/docs/reference/control/ss.md:32","false",""
"docs/reference/control/ss2ss.md:2","Examples","reference-fence","Reference example","web/src/docs/reference/control/ss2ss.md:36","false",""
"docs/reference/control/stepinfo.md:2","Examples","reference-fence","Reference example","web/src/docs/reference/control/stepinfo.md:36","false",""
"docs/reference/control/tf2zp.md:2","Examples","reference-fence","Reference example","web/src/docs/reference/control/tf2zp.md:34","false",""
"docs/reference/control/zp2tf.md:2","Examples","reference-fence","Reference example","web/src/docs/reference/control/zp2tf.md:31","false",""
"docs/reference/interpolation/dtable.md:3","Example 1 — exact slope of a linear table","reference-fence","Reference example","web/src/docs/reference/interpolation/dtable.md:54","false","dtable"
"docs/reference/interpolation/dtable1.md:2","Example 1 — spline slope through y = x²","reference-fence","Reference example","web/src/docs/reference/interpolation/dtable1.md:41","false","dtable;dtable1"
"docs/reference/math/cbrt.md:2","Example 1 — Characteristic length of a cubic volume","reference-fence","Reference example","web/src/docs/reference/math/cbrt.md:40","false","cbrt"
"docs/reference/math/log2.md:2","Example 1 — Bits needed to encode N states","reference-fence","Reference example","web/src/docs/reference/math/log2.md:39","false","log2"
"docs/reference/signal/Convolve.md:2","Example 1 — a small kernel","reference-fence","Reference example","web/src/docs/reference/signal/Convolve.md:38","false","convolve"
"docs/reference/signal/Convolve.md:3","Example 2 — an impulse is the identity","reference-fence","Reference example","web/src/docs/reference/signal/Convolve.md:48","false","convolve"
"docs/reference/signal/Detrend.md:2","Example 1 — a drifting temperature record","reference-fence","Reference example","web/src/docs/reference/signal/Detrend.md:42","false","peakcount;detrend"
"docs/reference/signal/Detrend.md:3","Example 2 — re-centring without flattening","reference-fence","Reference example","web/src/docs/reference/signal/Detrend.md:52","false","detrend"
"docs/reference/signal/FFT.md:2","Example 1 — the transform of a unit impulse is flat","reference-fence","Reference example","web/src/docs/reference/signal/FFT.md:40","false","fft"
"docs/reference/signal/FFT.md:3","Example 2 — a real ramp","reference-fence","Reference example","web/src/docs/reference/signal/FFT.md:50","false","fft"
"docs/reference/signal/FiltFilt.md:2","Example 1 — a constant survives untouched, ends included","reference-fence","Reference example","web/src/docs/reference/signal/FiltFilt.md:45","false","filtfilt"
"docs/reference/signal/FiltFilt.md:3","Example 2 — a symmetric pulse stays symmetric","reference-fence","Reference example","web/src/docs/reference/signal/FiltFilt.md:56","false","filtfilt"
"docs/reference/signal/Filter.md:3","Example 1 — a two-tap moving average as an FIR filter","reference-fence","Reference example","web/src/docs/reference/signal/Filter.md:42","false","filter"
"docs/reference/signal/Filter.md:4","Example 2 — a one-pole low-pass","reference-fence","Reference example","web/src/docs/reference/signal/Filter.md:53","false","filter"
"docs/reference/signal/IFFT.md:2","Example 1 — a flat spectrum inverts to an impulse","reference-fence","Reference example","web/src/docs/reference/signal/IFFT.md:36","false","ifft"
"docs/reference/signal/IFFT.md:3","Example 2 — round trip","reference-fence","Reference example","web/src/docs/reference/signal/IFFT.md:46","false","fft;ifft"
"docs/reference/signal/Smooth.md:2","Example 1 — smoothing a noisy pressure trace","reference-fence","Reference example","web/src/docs/reference/signal/Smooth.md:38","false","smooth"
"docs/reference/signal/Welch.md:2","Example 1 — locating a tone and checking its power","reference-fence","Reference example","web/src/docs/reference/signal/Welch.md:42","false","welch"
"docs/reference/signal/Window.md:2","Example 1 — tapering before a transform","reference-fence","Reference example","web/src/docs/reference/signal/Window.md:43","false","fft;window"
"docs/reference/signal/XCorr.md:2","Example 1 — measuring a one-sample delay","reference-fence","Reference example","web/src/docs/reference/signal/XCorr.md:40","false","xcorr"
"docs/reference/signal/XCorr.md:3","Example 2 — autocorrelation energy","reference-fence","Reference example","web/src/docs/reference/signal/XCorr.md:50","false","xcorr"
"docs/reference/signal/peakcount.md:2","Example 1 — counting cycles","reference-fence","Reference example","web/src/docs/reference/signal/peakcount.md:44","false","peakcount"
"docs/reference/signal/peakcount.md:3","Example 2 — ignoring small excursions","reference-fence","Reference example","web/src/docs/reference/signal/peakcount.md:53","false","peakcount"
"docs/reference/signal/peakindex.md:2","Example 1 — walking the peaks of a trace","reference-fence","Reference example","web/src/docs/reference/signal/peakindex.md:31","false","peakcount;peakindex"
"docs/reference/signal/peakindex.md:3","Example 2 — the interval between the first two peaks","reference-fence","Reference example","web/src/docs/reference/signal/peakindex.md:44","false","peakindex"
"docs/reference/special-functions/besseli.md:2","Examples","reference-fence","Reference example","web/src/docs/reference/special-functions/besseli.md:41","false","besseli"
"docs/reference/special-functions/besseli0.md:2","Examples","reference-fence","Reference example","web/src/docs/reference/special-functions/besseli0.md:28","false","besseli0"
"docs/reference/special-functions/besseli1.md:2","Examples","reference-fence","Reference example","web/src/docs/reference/special-functions/besseli1.md:28","false","besseli1"
"docs/reference/special-functions/besselj.md:2","Examples","reference-fence","Reference example","web/src/docs/reference/special-functions/besselj.md:41","false","besselj"
"docs/reference/special-functions/besselj0.md:2","Examples","reference-fence","Reference example","web/src/docs/reference/special-functions/besselj0.md:28","false","besselj0"
"docs/reference/special-functions/besselj1.md:2","Examples","reference-fence","Reference example","web/src/docs/reference/special-functions/besselj1.md:28","false","besselj1"
"docs/reference/special-functions/besselk.md:2","Examples","reference-fence","Reference example","web/src/docs/reference/special-functions/besselk.md:42","false","besselk"
"docs/reference/special-functions/besselk0.md:2","Examples","reference-fence","Reference example","web/src/docs/reference/special-functions/besselk0.md:29","false","besselk0"
"docs/reference/special-functions/besselk1.md:2","Examples","reference-fence","Reference example","web/src/docs/reference/special-functions/besselk1.md:29","false","besselk1"
"docs/reference/special-functions/bessely.md:2","Examples","reference-fence","Reference example","web/src/docs/reference/special-functions/bessely.md:41","false","bessely"
"docs/reference/special-functions/bessely0.md:2","Examples","reference-fence","Reference example","web/src/docs/reference/special-functions/bessely0.md:29","false","bessely0"
"docs/reference/special-functions/bessely1.md:2","Examples","reference-fence","Reference example","web/src/docs/reference/special-functions/bessely1.md:28","false","bessely1"
"docs/reference/special-functions/beta.md:2","Examples","reference-fence","Reference example","web/src/docs/reference/special-functions/beta.md:37","false","beta"
"docs/reference/special-functions/chebyshevt.md:2","Examples","reference-fence","Reference example","web/src/docs/reference/special-functions/chebyshevt.md:36","false","chebyshevt"
"docs/reference/special-functions/chebyshevu.md:2","Examples","reference-fence","Reference example","web/src/docs/reference/special-functions/chebyshevu.md:37","false","chebyshevu"
"docs/reference/special-functions/digamma.md:2","Examples","reference-fence","Reference example","web/src/docs/reference/special-functions/digamma.md:43","false","digamma"
"docs/reference/special-functions/erf.md:2","Examples","reference-fence","Reference example","web/src/docs/reference/special-functions/erf.md:38","false","erf"
"docs/reference/special-functions/erfc.md:2","Examples","reference-fence","Reference example","web/src/docs/reference/special-functions/erfc.md:38","false","erfc"
"docs/reference/special-functions/erfinv.md:2","Examples","reference-fence","Reference example","web/src/docs/reference/special-functions/erfinv.md:38","false","erfinv"
"docs/reference/special-functions/gamma.md:2","Examples","reference-fence","Reference example","web/src/docs/reference/special-functions/gamma.md:41","false","gamma"
"docs/reference/special-functions/hermiteh.md:2","Examples","reference-fence","Reference example","web/src/docs/reference/special-functions/hermiteh.md:38","false","hermiteh"
"docs/reference/special-functions/laguerrel.md:2","Examples","reference-fence","Reference example","web/src/docs/reference/special-functions/laguerrel.md:38","false","laguerrel"
"docs/reference/special-functions/legendrep.md:2","Examples","reference-fence","Reference example","web/src/docs/reference/special-functions/legendrep.md:41","false","legendrep"
"docs/reference/special-functions/loggamma.md:2","Examples","reference-fence","Reference example","web/src/docs/reference/special-functions/loggamma.md:41","false","loggamma"
"docs/reference/stats/probability.md:2","Example 1 — Coverage within ±1σ","reference-fence","Reference example","web/src/docs/reference/stats/probability.md:38","false","probability"
"docs/symbolic_cas.md:1","Declaring a symbolic variable","guide-fence","Guide snippet","web/src/docs/symbolic_cas.md:16","false",""
"docs/symbolic_cas.md:2","Partial-fraction decomposition","guide-fence","Guide snippet","web/src/docs/symbolic_cas.md:26","false",""
"docs/symbolic_cas.md:3","Automatic residues: residue","guide-fence","Guide snippet","web/src/docs/symbolic_cas.md:38","false","residue"
"docs/symbolic_cas.md:4","Automatic residues: residue","guide-fence","Guide snippet","web/src/docs/symbolic_cas.md:46","false","residue"
"docs/symbolic_cas.md:5","Transfer functions: tf(num, den)","guide-fence","Guide snippet","web/src/docs/symbolic_cas.md:57","false","tf"
"docs/symbolic_cas.md:6","Multi-Output Functions (array-language-style)","guide-fence","Guide snippet","web/src/docs/symbolic_cas.md:93","false","tf2ss"
"docs/symbolic_cas.md:7","Multi-Output Functions (array-language-style)","guide-fence","Guide snippet","web/src/docs/symbolic_cas.md:101","false","bode;svd"
"docs/symbolic_cas.md:8","Multi-Output Functions (array-language-style)","guide-fence","Guide snippet","web/src/docs/symbolic_cas.md:108","false","tf2ss"
"docs/symbolic_cas.md:9","1. State Space to Transfer Function: ss2tf","guide-fence","Guide snippet","web/src/docs/symbolic_cas.md:115","false","ss2tf"
"docs/symbolic_cas.md:10","2. Transfer Function to State Space: tf2ss","guide-fence","Guide snippet","web/src/docs/symbolic_cas.md:120","false","tf2ss"
"docs/symbolic_cas.md:11","3. Zero-Pole-Gain to Transfer Function: zp2tf","guide-fence","Guide snippet","web/src/docs/symbolic_cas.md:125","false","zp2tf"
"docs/symbolic_cas.md:12","4. Transfer Function to Zero-Pole-Gain: tf2zp","guide-fence","Guide snippet","web/src/docs/symbolic_cas.md:130","false","tf2zp"
"docs/symbolic_cas.md:13","1. Series Connection: series","guide-fence","Guide snippet","web/src/docs/symbolic_cas.md:142","false","series"
"docs/symbolic_cas.md:14","2. Parallel Connection: parallel","guide-fence","Guide snippet","web/src/docs/symbolic_cas.md:152","false","parallel"
"docs/symbolic_cas.md:15","3. Feedback Connection: feedback","guide-fence","Guide snippet","web/src/docs/symbolic_cas.md:162","false","feedback"
"docs/symbolic_cas.md:16","1. Padé Approximation: pade","guide-fence","Guide snippet","web/src/docs/symbolic_cas.md:175","false","pade"
"docs/symbolic_cas.md:17","1. Controllability Matrix: ctrb","guide-fence","Guide snippet","web/src/docs/symbolic_cas.md:185","false","ctrb"
"docs/symbolic_cas.md:18","2. Observability Matrix: obsv","guide-fence","Guide snippet","web/src/docs/symbolic_cas.md:191","false","obsv"
"docs/symbolic_cas.md:19","3. Matrix Rank: rank","guide-fence","Guide snippet","web/src/docs/symbolic_cas.md:197","false","rank"
"docs/symbolic_cas.md:20","4. Similarity Transformation: ss2ss","guide-fence","Guide snippet","web/src/docs/symbolic_cas.md:203","false","ss2ss"
"docs/symbolic_cas.md:21","1. Poles: pole","guide-fence","Guide snippet","web/src/docs/symbolic_cas.md:213","false","pole"
"docs/symbolic_cas.md:22","2. Zeros: zero","guide-fence","Guide snippet","web/src/docs/symbolic_cas.md:221","false","zero"
"docs/symbolic_cas.md:23","3. Bode Frequency Response: bode","guide-fence","Guide snippet","web/src/docs/symbolic_cas.md:229","false","bode"
"docs/symbolic_cas.md:24","4. Nyquist Frequency Response: nyquist","guide-fence","Guide snippet","web/src/docs/symbolic_cas.md:237","false","nyquist"
"docs/symbolic_cas.md:25","5. Gain and Phase Margins: margin","guide-fence","Guide snippet","web/src/docs/symbolic_cas.md:245","false","margin"
"docs/symbolic_cas.md:26","6. Root Locus Trajectories: rlocus","guide-fence","Guide snippet","web/src/docs/symbolic_cas.md:253","false","rlocus"
"docs/symbolic_cas.md:27","6. Root Locus Trajectories: rlocus","guide-fence","Guide snippet","web/src/docs/symbolic_cas.md:257","false",""
"docs/symbolic_cas.md:28","7. Routh-Hurwitz Stability: routh","guide-fence","Guide snippet","web/src/docs/symbolic_cas.md:269","false","routh"
"docs/symbolic_cas.md:29","8. Nichols Chart Data: nichols","guide-fence","Guide snippet","web/src/docs/symbolic_cas.md:277","false","nichols"
"docs/symbolic_cas.md:30","OR","guide-fence","Guide snippet","web/src/docs/symbolic_cas.md:283","false",""
"docs/symbolic_cas.md:31","9. Static Error Constants: errorconst","guide-fence","Guide snippet","web/src/docs/symbolic_cas.md:293","false","errorconst"
"docs/symbolic_cas.md:32","10. Signal-Flow Graphs: mason","guide-fence","Guide snippet","web/src/docs/symbolic_cas.md:301","false","mason"
"docs/symbolic_cas.md:33","1. Continuous to Discrete: c2d","guide-fence","Guide snippet","web/src/docs/symbolic_cas.md:313","false","c2d"
"docs/symbolic_cas.md:34","2. Discrete to Continuous: d2c","guide-fence","Guide snippet","web/src/docs/symbolic_cas.md:322","false","d2c"
"docs/symbolic_cas.md:35","1. Step Response: step","guide-fence","Guide snippet","web/src/docs/symbolic_cas.md:332","false","step"
"docs/symbolic_cas.md:36","2. Impulse Response: impulse","guide-fence","Guide snippet","web/src/docs/symbolic_cas.md:340","false","impulse"
"docs/symbolic_cas.md:37","3. Forced Response: lsim","guide-fence","Guide snippet","web/src/docs/symbolic_cas.md:348","false","lsim"
"docs/symbolic_cas.md:38","4. Transient Response Metrics: stepinfo","guide-fence","Guide snippet","web/src/docs/symbolic_cas.md:356","false","stepinfo"
"docs/symbolic_cas.md:39","1. LQR Optimal Gain: lqr","guide-fence","Guide snippet","web/src/docs/symbolic_cas.md:366","false","lqr"
"docs/symbolic_cas.md:40","2. Pole Placement: place","guide-fence","Guide snippet","web/src/docs/symbolic_cas.md:372","false","place"
"docs/symbolic_cas.md:41","3. PID Auto-Tuning: pidtune","guide-fence","Guide snippet","web/src/docs/symbolic_cas.md:378","false","pidtune"
"docs/tutorials.md:1","Stage 1 — the parameters, and what to expect","guide-run","Guide snippet","web/src/docs/tutorials.md:10","false","sqrt"
"docs/tutorials.md:2","Stage 2 — free response in time","guide-fence","Guide snippet","web/src/docs/tutorials.md:25","false",""
"docs/tutorials.md:3","Stage 3 — read the trajectory back","guide-fence","Guide snippet","web/src/docs/tutorials.md:41","false","finalvalue;maxvalue;odevalue;timeat"
"docs/tutorials.md:4","Stage 4 — the same plant in the frequency domain","guide-fence","Guide snippet","web/src/docs/tutorials.md:53","false","bode;linspace"
"docs/tutorials.md:5","Complete listing","guide-run","Guide snippet","web/src/docs/tutorials.md:78","false","bode;finalvalue;maxvalue;odevalue;sqrt;timeat;linspace"
"docs/tutorials.md:6","Stage 1 — the inlet state","guide-fence","Guide snippet","web/src/docs/tutorials.md:130","false","enthalpy;dewpoint;humrat"
"docs/tutorials.md:7","Stage 2 — outlet state and coil duty","guide-fence","Guide snippet","web/src/docs/tutorials.md:147","false","enthalpy;humrat"
"docs/tutorials.md:8","Stage 3 — the same coil, as components","guide-fence","Guide snippet","web/src/docs/tutorials.md:165","false","AHU;CoolingCoil;MoistAirSink;MoistAirSource"
"docs/tutorials.md:9","Complete listing","guide-run","Guide snippet","web/src/docs/tutorials.md:189","false","enthalpy;dewpoint;humrat;AHU;CoolingCoil;MoistAirSink;MoistAirSource"
"docs/tutorials.md:10","Stage 1 — the numbers that shape the response","guide-run","Guide snippet","web/src/docs/tutorials.md:238","false","sqrt"
"docs/tutorials.md:11","Stage 2 — phasor analysis at one frequency","guide-fence","Guide snippet","web/src/docs/tutorials.md:253","false","arctan;sqrt"
"docs/tutorials.md:12","Stage 3 — the whole response at once","guide-fence","Guide snippet","web/src/docs/tutorials.md:275","false","bode;linspace"
"docs/tutorials.md:13","Complete listing","guide-run","Guide snippet","web/src/docs/tutorials.md:293","false","arctan;bode;sqrt;linspace"
"docs/tutorials.md:14","Stage 1 — the four states","guide-run","Guide snippet","web/src/docs/tutorials.md:350","false","enthalpy;entropy"
"docs/tutorials.md:15","Stage 2 — performance","guide-fence","Guide snippet","web/src/docs/tutorials.md:374","false",""
"docs/tutorials.md:16","Stage 3 — how well do you know it?","guide-fence","Guide snippet","web/src/docs/tutorials.md:386","false","uncertaintyof"
"docs/tutorials.md:17","Complete listing","guide-run","Guide snippet","web/src/docs/tutorials.md:398","false","uncertaintyof;enthalpy;entropy"
"docs/tutorials.md:18","Stage 1 — digitize the curve","guide-fence","Guide snippet","web/src/docs/tutorials.md:450","false",""
"docs/tutorials.md:19","Stage 2 — the system curve","guide-fence","Guide snippet","web/src/docs/tutorials.md:468","false",""
"docs/tutorials.md:20","Stage 3 — the operating point","guide-fence","Guide snippet","web/src/docs/tutorials.md:482","false",""
"docs/tutorials.md:21","Stage 3 — the operating point","guide-fence","Guide snippet","web/src/docs/tutorials.md:488","false",""
"docs/tutorials.md:22","Complete listing","guide-run","Guide snippet","web/src/docs/tutorials.md:497","false",""
"docs/verification.md:1","Verification Suite","guide-fence","Guide snippet","web/src/docs/verification.md:8","false",""
